elevation (m),rainfall (mm),mean temp
5,3362.9,27
10.6,1816.1,27.7
3,1892.7,27.3
1510.08,3824,19.5
173,3357,26.7
167,2329.2,24.9
2.4,4594.3,27.3
17.6,2125.7,28.1
40.5,2408,27.5
13,2482.2,26.8
4,3994.3,26.5
6.58,3750.7,27.5
5,2991,28.4
151.564,2454.5,27.2
59.938,2502.3,28.3
44.9,2415,27.9
19.087,3493.1,28.1
4,2119.3,28.7
3.92,3562,27.7
2,2516,27.8
17.29,1835.5,28.2
3.7921,2484.2,27.4
7.048,1322.6,27.9
132.199,958.1,27.9
60,3243.5,27.6
3,4761.6,27.7
5.538,3551.7,27.3
5,2085.1,27.7
7,3987.1,27.5
124,2278,25.2
5.4,2187,27.6
15.487,3593.1,27.7
182,1773.3,27
72,2338.8,27.5
25.703,1685,28.1
689.5,2641.9,24.2
8.831,2026.6,28.4
15,2242.7,28.6
16.76,1555.4,28.1
176.55,2378,27.4
2.495,2137,28.1
3.314,2388.7,28.1
3,2241.3,28.9
43,2785,27.8
39.27,3757.3,27.8
2.711,2840.6,28.1
7.565,1554.3,28.2
646.05,2794.1,23.2
157.7,3144.7,26.7
62,1768.9,26.9
58.129,2172,27.4
31.574,3188.2,27.3
6.857,1322.4,28.4
